"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Alvear V.J.V.; León A.P.O.; Root M.S.","Alvear, Vanessa Janett Vélez (57208397126); León, Andrea Paulina Ordóñez (57215586839); Root, Maria Salas (58652575600)","57208397126; 57215586839; 58652575600","Urban sustainability in the Latin American intermediate city. The case of Loja - Ecuador; [Sustentabilidad urbana en la ciudad intermedia latinoamericana. El caso de Loja - Ecuador]","2023","Bitacora Urbano Territorial","33","3","","","","1","10.15446/bitacora.v33n3.109577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174345191&doi=10.15446%2Fbitacora.v33n3.109577&partnerID=40&md5=a32eeb25c93969b1e42a82fb465717f7","Universidad Internacional del Ecuador, Ecuador; Ci Design Inc, United States","Alvear V.J.V., Universidad Internacional del Ecuador, Ecuador; León A.P.O., Universidad Internacional del Ecuador, Ecuador; Root M.S., Ci Design Inc, United States","The UN 2030 Agenda pursues sustainable development, inclusion, and in coherence with the environment. To achieve this, it is necessary to evaluate and improve the sustainability of the cities. This study evaluated urban sustainability in a pilot sector of the intermediate city of Loja (Ecuador). The used methodology was based on the System of Sustainable Urban Evaluation through urban densification indicators. To obtain occupancy indicators of use and occupancy, pedestrian accessibility, green spaces, and social interaction, data sources were gathered. The results revealed low index values when compared to the index values proposed: five indexes show optimum values in portions of the area of study while three indexes did not reach acceptable values. The Urban Densification Index value is lower compared to the referent index. The study indicates low sustainable index-values of urban development in the pilot sector analyzed. These results make evident the need to quantify sustainability indexes within the city as a base to define objectives that guide the city planning towards sustainability and urban equality. © 2023 Universidad Nacional de Colombia. All rights reserved.","evaluation; intermediate city; urban development; urban indicators; Urban sustainability","","","","Universidad Nacional de Colombia","01247913","","","","Spanish","Bitacora Urban. Territorial","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174345191"
"Quezada C.R.; Guajardo F.J.; Steiniger S.","Quezada, Carolina Rojas (35254568700); Guajardo, Felipe Jorquera (57369490400); Steiniger, Stefan (18038653900)","35254568700; 57369490400; 18038653900","WALKING ACCESS TO URBAN WETLANDS: AN OPPORTUNITY FOR RECREATION AND WELLBEING; [ACCEDER CAMINANDO A LOS HUMEDALES URBANOS UNA OPORTUNIDAD DE RECREACIÓN Y BIENESTAR]","2022","Urbano","25","46","","56","67","8","10.22320/07183607.2022.25.46.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149118970&doi=10.22320%2F07183607.2022.25.46.05&partnerID=40&md5=aac7be9e37a41a26112fd44113c08202","Geografía en Sistemas de Información Geográfica, Cartografía y Teledetección Pontificia Universidad Católica de Chile, Santiago, Chile; Instituto de Estudios Urbanos y Territoriales, Chile; Asentamientos Humanos y Medio Ambiente Universidad de Concepción, Concepción, Chile; Ciencias Ambientales, Facultad de Ciencias Ambientales - Centro EULA, Chile; Ingeniería Geomática Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería de la Construcción y Transportes - Centro de Desarrollo Urbano Sustentable CEDEUS, Santiago, Chile","Quezada C.R., Geografía en Sistemas de Información Geográfica, Cartografía y Teledetección Pontificia Universidad Católica de Chile, Santiago, Chile, Instituto de Estudios Urbanos y Territoriales, Chile; Guajardo F.J., Asentamientos Humanos y Medio Ambiente Universidad de Concepción, Concepción, Chile, Ciencias Ambientales, Facultad de Ciencias Ambientales - Centro EULA, Chile; Steiniger S., Ingeniería Geomática Pontificia Universidad Católica de Valparaíso, Valparaíso, Chile, Escuela de Ingeniería de la Construcción y Transportes - Centro de Desarrollo Urbano Sustentable CEDEUS, Santiago, Chile","Urban wetlands in Chilean cities are one of the urban ecosystems most affected by real estate developments. Despite their importance for recreation and biodiversity, they are constantly shrinking due to deficient urban planning processes. However, with the recent boom of green and sustainable cities, wetlands are being revalued through restoration projects and open urban parks, with natural value for the well-being of habitats and the urban population. In this sense, promoting accessibility through suitable infrastructure will contribute to improving the quality of life of inhabitants and the urban environment, specifically through the integration of blue-green infrastructure. Walkable access to a network of wetlands called “La Ruta del Agua” (“the water trail”) has been analyzed here, through a perception-based survey, looking to improve access to nature in cities. The urban wetlands assessed comprise five ecosystems located in different types of neighborhoods in the metropolitan area of Concepción, Chile. Although this is a local case study, it is relevant from a methodological perspective, given the existence of a large number of degraded urban wetlands in Latin America that are in danger of disappearing. The results show that wetlands are accessible by walking, but the fact that they are rarely visited, despite being close to residential areas, reveals a lack of integration as open green spaces, rich in biodiversity, and as places of recreation in the city of Concepción. The results of this study are valuable for the design of future “wetland parks”, one which must consider the ecosystem values, biodiversity, and recreation for people’s well-being. © 2022 Authors. All rights reserved.","accessibility; perception; urban wetlands; walkability; well-being","","","","Universidad del Bío Bío","07173997","","","","English","Urbano","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149118970"
"Lima J.P.; Machado M.H.","Lima, Josiane Palma (37005921300); Machado, Mariza Helena (57190608924)","37005921300; 57190608924","Walking accessibility for individuals with reduced mobility: A Brazilian case study","2019","Case Studies on Transport Policy","7","2","","269","279","29","10.1016/j.cstp.2019.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062425547&doi=10.1016%2Fj.cstp.2019.02.007&partnerID=40&md5=caa631a43df1ec9ac01643ce8f166aa7","Federal University of Itajuba (UNIFEI), Industrial Engineering and Management Institute (IEPG), Ave. Bps 1303, Itajuba, 37500-903, MG, Brazil","Lima J.P., Federal University of Itajuba (UNIFEI), Industrial Engineering and Management Institute (IEPG), Ave. Bps 1303, Itajuba, 37500-903, MG, Brazil; Machado M.H., Federal University of Itajuba (UNIFEI), Industrial Engineering and Management Institute (IEPG), Ave. Bps 1303, Itajuba, 37500-903, MG, Brazil","The objective of this work is to evaluate the accessibility in public spaces from the perspective of the person with reduced mobility. Two methods of evaluation were used: the Analytic Hierarchy Process (AHP), to consider the multiple criteria that define a quantitative index of the pedestrian accessibility; and the Commented Paths Method (Méthode des Parcours Commentés) for a qualitative analysis of the practical subjective experience. In order to apply the methods and compare the results, a case study was carried out in the city of Itajubá, in the state of Minas Gerais, Brazil. The results of the application of the methods when compared to the on-site observation, demonstrated coherence with the actual situation. One method complemented the other by providing greater potential for interpretation of the phenomenon, especially by adding individual perceptions, increasing the study's validity. The research provides support for more inclusive public policies, including accessibility with a view for sustainable development and a special focus on social sustainability. © 2019 World Conference on Transport Research Society","Accessibility; Analytical hierarchy process; Commented paths method; Pedestrian; Reduced mobility; Walking","","J.P. Lima; Associate Professor, Industrial Engineering and Management Institute, Federal University of Itajuba, Itajubá, Av. BPS 1303, 37500-903, Brazil; email: jplima@unifei.edu.br","","Elsevier Ltd","2213624X","","","","English","Case Stud. Transp. Policy","Article","Final","","Scopus","2-s2.0-85062425547"
"Adlakha D.; Parra D.C.","Adlakha, Deepti (55532047200); Parra, Diana C. (55760782500)","55532047200; 55760782500","Mind the gap: Gender differences in walkability, transportation and physical activity in urban India","2020","Journal of Transport and Health","18","","100875","","","66","10.1016/j.jth.2020.100875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084813570&doi=10.1016%2Fj.jth.2020.100875&partnerID=40&md5=ad497e481794363974f2f03b749901d2","School of Natural and Built Environment, Queen's University Belfast, United Kingdom; Program in Physical Therapy, Washington University in St. Louis, School of Medicine, St. Louis, MO, United States","Adlakha D., School of Natural and Built Environment, Queen's University Belfast, United Kingdom; Parra D.C., Program in Physical Therapy, Washington University in St. Louis, School of Medicine, St. Louis, MO, United States","Introduction: Insufficient physical activity (PA) is a key contributor for premature mortality in low- and middle-income countries (LMICs). Despite the well-documented health benefits of PA, few women achieve the recommended levels of PA. The global average of inactivity among women is higher at 31.7% compared to 23.4% for inactive men. The gender gap in PA participation is wider in India where estimates indicate that 44% women are insufficiently active, compared to 25% men. Methods: This cross-sectional study was conducted in the city of Chennai, India. Participants (N = 370) were recruited from 155 wards stratified by neighborhood walkability and socio-economic status. The adapted Neighborhood Environment Walkability Scale for India (NEWS-India) was used to assess built environment perceptions on density, land-use mix, street infrastructure, aesthetics, traffic and crime safety. Travel and leisure PA were recorded using the International Physical Activity Questionnaire-Long Form (IPAQ-LF). Study protocols were based on recommendations of the International Physical activity and the Environment Network (IPEN; www.ipenproject.org) and previously used in studies in Brazil, Colombia, and Nigeria. Results: A greater number of women reported achieving weekly PA levels from travel-related activities (n = 54, 16.0%) compared to men (n = 33, 9.8%). In contrast, a higher percentage of men (n = 75, 22.3%) met weekly PA recommendations during leisure-time compared to women (n = 54, 16.1%). Street connectivity (aOR = 3.2, CI = 1.3, 8.0) and land-use mix access (aOR = 3.7, CI = 1.4, 8.2) significantly increased odds of travel PA among women. Conclusions: Low engagement in leisure PA among women can be linked to prevailing socio-cultural norms that constrain women's mobility and hinder their participation in PA. Aspects of gender equity in transportation planning are closely linked with citywide indicators of liveability, sustainability and resilience in LMICs like India. Public health practitioners must address gender-specific barriers to increase PA among women through context-specific group exercise programs, peer support and guidance that emphasize the importance of PA. © 2020 Elsevier Ltd","Built environment; India; Low- and middle-income countries; Neighborhood walkability; Non-communicable diseases; Physical activity","","D. Adlakha; School of Natural and Built Environment David Keir Building, Queen's University Belfast, Belfast, 39-123 Stranmillis Road, BT9 5AG, United Kingdom; email: d.adlakha@qub.ac.uk","","Elsevier Ltd","22141405","","","","English","J. Transp. Health","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084813570"
"Valverde-Caballero L.S.; Mendoza-Salazar L.M.; Butron-Revilla C.L.; Suarez-Lopez E.; Aguilar-Ruiz J.S.","Valverde-Caballero, Liliana S (57285821700); Mendoza-Salazar, Luis M (59032945300); Butron-Revilla, Cinthya L (58853380200); Suarez-Lopez, Ernesto (58002914200); Aguilar-Ruiz, Jesus S (57194168052)","57285821700; 59032945300; 58853380200; 58002914200; 57194168052","Walkability index for world heritage cities in developing countries","2025","Environment and Planning B: Urban Analytics and City Science","52","1","","76","96","4","10.1177/23998083241250265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192171366&doi=10.1177%2F23998083241250265&partnerID=40&md5=0559846ebe57108bc20724c894f250ed","Universidad Nacional de San Agustin de Arequipa, Peru; Pablo de Olavide University, Spain","Valverde-Caballero L.S., Universidad Nacional de San Agustin de Arequipa, Peru; Mendoza-Salazar L.M., Universidad Nacional de San Agustin de Arequipa, Peru; Butron-Revilla C.L., Universidad Nacional de San Agustin de Arequipa, Peru; Suarez-Lopez E., Universidad Nacional de San Agustin de Arequipa, Peru; Aguilar-Ruiz J.S., Pablo de Olavide University, Spain","Walkability principles are an important part in the planning process of cities that face urban problems such as gentrification, pollution, and decay of their built heritage. The proposed factors – connectivity, proximity, land use mix, and retail density – form a comprehensive framework for evaluating walkability that transcends the boundaries of historical cities. These factors, while initially identified within historical contexts, possess inherent qualities that render them universally adaptable to various urban landscapes. By leveraging these factors, urban planners gain insights into the intricate fabric of pedestrian experiences in cities. They serve as universal evaluative tools, applicable not only to historical cities but also to burgeoning metropolises and smaller urban centres. This work introduces a novel approach to assessing the Walkability Index for World Heritage Cities, utilizing a Multiple Criteria Spatial Decision Support System (GIS-MCDA) structured in four stages. The approached methodology is particularly valuable for governments and decision-makers in developing countries of the Global South, where limitations in data and available tools are common challenges. The insights gained from this study can guide the improvement of policies, enable more precise implementation of sustainable mobility infrastructure, and motivate the pursuit or maintenance of UNESCO World Heritage nominations. The case study focused on the Historical Centre of Arequipa, Peru, a city designated as a UNESCO World Heritage site. The results of this study demonstrate the effectiveness of the proposed approach in such contexts, owing to its specificity and the integration of both objective and subjective elements. © The Author(s) 2024.","geographic information system; land use; pedestrian; UNESCO; Walkability index; world heritage","Arequipa [Arequipa (DPR)]; Arequipa [Peru]; Peru; developing world; GIS; land use; pedestrian; walking; World Heritage Site","L.S. Valverde-Caballero; Universidad Nacional de San Agustin de Arequipa, Arequipa, Santa Catalina 117, 04000, Peru; email: lvalverdec@unsa.edu.pe","","SAGE Publications Ltd","23998083","","","","English","Environ. Plann.","Article","Final","","Scopus","2-s2.0-85192171366"
"Arellana J.; Alvarez V.; Oviedo D.; Guzman L.A.","Arellana, Julián (55569221400); Alvarez, Vilma (57208336033); Oviedo, Daniel (56271857200); Guzman, Luis A. (55904900500)","55569221400; 57208336033; 56271857200; 55904900500","Walk this way: Pedestrian accessibility and equity in Barranquilla and Soledad, Colombia","2021","Research in Transportation Economics","86","","101024","","","56","10.1016/j.retrec.2020.101024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099624597&doi=10.1016%2Fj.retrec.2020.101024&partnerID=40&md5=97c71b1ac9723f38d6731527d72ca101","Departamento de Ingeniería Civil y Ambiental, Universidad Del Norte, Colombia; University College London, United Kingdom; Departamento de Ingeniería Civil y Ambiental, Universidad de los Andes, Colombia","Arellana J., Departamento de Ingeniería Civil y Ambiental, Universidad Del Norte, Colombia; Alvarez V., Departamento de Ingeniería Civil y Ambiental, Universidad Del Norte, Colombia; Oviedo D., University College London, United Kingdom; Guzman L.A., Departamento de Ingeniería Civil y Ambiental, Universidad de los Andes, Colombia","As a transport mode available to everyone and most abled-bodied urban residents, walking is, actually, the most equitable mode of transport. Walking brings several benefits to inhabitants among money savings and health improvement. Unfortunately, despite its benefits, walking is not a priority in the urban planning agenda of some cities, especially in the Global South. Walkability conditions in some areas of these cities are not particularly friendly for pedestrians, which discourage walking trips and promotes inequities across inhabitants. Evidence supporting inequalities in the provision of adequate conditions for the use of active transport in the Global South cities remain scarce. This paper aims to contribute to filling this gap by first proposing a framework to link pedestrian accessibility with walkability measures. Specifically, we use a macro-scale measure of pedestrian accessibility and a meso-scale measure of walkability to compare walking conditions on different zones in Barranquilla and Soledad, Colombia. After comparing both measures, we found that low-income zones have higher walkability indexes but present lower potential pedestrian accessibility. In contrast, the highest potential pedestrian accessibilities were located in high and medium-income zones, where people rely more on private transport modes. This imbalance regarding supply and demand conditions for walking trips suggest that unfortunately, zones with the highest potential of being walkable are the ones that face more barriers to walk. Then, adequate planning policies when implemented in the right locations could promote higher use of walking and have the potential to reduce current inequalities in pedestrian infrastructure provision. © 2021 Elsevier Ltd","Barranquilla; Equity; Pedestrians; Potential pedestrian accessibility; Soledad; Walkability index; Walking","","J. Arellana; Departamento de Ingeniería Civil y Ambiental, Universidad Del Norte, Colombia; email: jarellana@uninorte.edu.co","","Emerald Group Holdings Ltd.","07398859","","","","English","Res. Transp. Econ.","Article","Final","","Scopus","2-s2.0-85099624597"
"Correa-Parra J.; Vergara-Perucich F.; Aguirre-Nuñez C.; Ulloa-León F.I.","Correa-Parra, Juan (59004361700); Vergara-Perucich, Francisco (57225924150); Aguirre-Nuñez, Carlos (57915892800); Ulloa-León, Felipe Ignacio (57790234500)","59004361700; 57225924150; 57915892800; 57790234500","The 15-minute city and real estate capital: contributions from Chile’s major cities","2025","Town Planning Review","96","6","","671","696","1","10.3828/tpr.2025.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020747517&doi=10.3828%2Ftpr.2025.8&partnerID=40&md5=a92e0522d84d4f6a270390b5a23c8684","Universidad Gabriela Mistral, Escuela de Arquitectura, Avenida Andrés Bello 1337, Santiago Metropolitan Region, 7500533, Chile; Pontificia Universidad Catolica de Chile, Instituto de Geografía, Vicuña Mackenna 4860, Santiago Metropolitan, 7820436, Chile; Universidad de las Americas, Manuel Montt 948, Providencia, RM, Santiago, 7500972, Chile; Universidad San Sebastián – Campus Bellavista, Facultad de ingeniería, arquitectura y diseño, Bellavista 7, Recoleta, RM, Santiago de Chile, 8420524, Chile; Universidad de las Américas – Arquitectura, Manuel Montt 498, RM, Santiago, 7500975, Chile","Correa-Parra J., Universidad Gabriela Mistral, Escuela de Arquitectura, Avenida Andrés Bello 1337, Santiago Metropolitan Region, 7500533, Chile, Pontificia Universidad Catolica de Chile, Instituto de Geografía, Vicuña Mackenna 4860, Santiago Metropolitan, 7820436, Chile; Vergara-Perucich F., Universidad de las Americas, Manuel Montt 948, Providencia, RM, Santiago, 7500972, Chile; Aguirre-Nuñez C., Universidad San Sebastián – Campus Bellavista, Facultad de ingeniería, arquitectura y diseño, Bellavista 7, Recoleta, RM, Santiago de Chile, 8420524, Chile; Ulloa-León F.I., Universidad de las Américas – Arquitectura, Manuel Montt 498, RM, Santiago, 7500975, Chile","The COVID-19 pandemic has spurred discussions on reimagining cities based on principles of public health and reducing spatially expressed inequalities. In this context, the concept of the 15-minute city has emerged as a priority for municipal authorities in the case of Chile. However, the implementation of this model faces challenges, including the dominant presence of the market in the production and capitalisation of urban life in Chilean cities. © 2025 Liverpool University Press. All rights reserved.","15-minute city; real estate; urbanism; walkable city","Chile; capital; policy implementation; public health; urban planning","","","Liverpool University Press","00410020","","","","English","Town Plann. Rev.","Article","Final","","Scopus","2-s2.0-105020747517"
"da Silva M.B.C.; de Toni D.; Bertolini A.C.F.","da Silva, Marcelo Benetti Correa (57218372147); de Toni, Deonir (35785647800); Bertolini, Ana Cristina Fachinelli (59722837000)","57218372147; 35785647800; 59722837000","The influence of perceived dimensions of sustainability on life satisfaction and citizen engagement in developing countries","2026","Cities","172","","106842","","","0","10.1016/j.cities.2026.106842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030261062&doi=10.1016%2Fj.cities.2026.106842&partnerID=40&md5=17d69ab8019ac935cf425bc2a45af5a5","University of Caxias do Sul, Business and Social Sciences, Department of Business Administration, Brazil","da Silva M.B.C., University of Caxias do Sul, Business and Social Sciences, Department of Business Administration, Brazil; de Toni D., University of Caxias do Sul, Business and Social Sciences, Department of Business Administration, Brazil; Bertolini A.C.F., University of Caxias do Sul, Business and Social Sciences, Department of Business Administration, Brazil","This study examines how citizens' perceptions of key urban sustainability dimensions relate to their well-being and civic engagement. We focus on mid-sized industrial cities in southern Brazil, a context that remains underrepresented in the urban sustainability literature, to address a gap in Global South evidence. The analysis is based on a quantitative, cross-sectional survey applying the CityLifeSat scale to 1228 residents in two municipalities. Perceived sustainability was operationalized through multiple latent constructs aligned with the Sustainable Development Goals (SDGs) and with indicators from ISO 37120:2017, including safety, recreation, walkability, mobility, primary services, place attachment, and health and well-being. We estimated a Partial Least Squares Structural Equation Model (PLS-SEM) to test the relationships among these constructs and civic engagement. The results show that citizens' perceptions of safety and place attachment are positively associated with civic engagement, indicating that feeling secure and emotionally connected to the city supports participation in local decision-making. Health and well-being are significantly and positively influenced by perceptions of safety, recreation, and primary services, demonstrating that everyday conditions—protection, access to services, and opportunities for leisure—are central to perceived urban sustainability. At the same time, lower levels of health and well-being are associated with higher levels of civic engagement, suggesting that dissatisfaction with urban conditions can motivate political participation and demands for accountability. These findings advance existing debates by empirically linking perceived sustainability, subjective well-being, and civic engagement in a Global South setting, and by showing that civic engagement is driven both by positive attachment and by dissatisfaction. The study contributes methodologically by validating the CityLifeSat model through PLS-SEM and confirming the reliability of most constructs derived from SDG- and ISO-based indicators. Practically, the results provide city managers with an evidence-based framework to prioritize investments in safety, essential services, and inclusive public spaces as levers to promote both well-being and participatory urban governance. Copyright © 2024. Published by Elsevier Ltd.","Citizen engagement; City life satisfaction; Sustainability","Brazil; developing world; life satisfaction; sustainability; urban development; urbanization","M.B.C. da Silva; Universidade de Caxias do Sul, Business Management, Caxias do Sul, 1130, Francisco Getúlio Vargas, Rio Grande do Sul, 95070-560, Brazil; email: mbcsilva@ucs.br","","Elsevier Ltd","02642751","","","","English","Cities","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105030261062"
"Duduta N.; Adriazola C.; Hidalgo D.; Lindau L.A.; Jaffe R.","Duduta, Nicolae (55616079000); Adriazola, Claudia (55256344900); Hidalgo, Dario (7006017161); Lindau, Luis Antonio (25122780900); Jaffe, Rebecca (56735508200)","55616079000; 55256344900; 7006017161; 25122780900; 56735508200","Understanding road safety impact of high-performance bus rapid transit and busway design features","2012","Transportation Research Record","2317","","","8","14","41","10.3141/2317-02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907308958&doi=10.3141%2F2317-02&partnerID=40&md5=1a47ea09b043fc4a44705e82336b293a","EMBARQ, World Resources Institute, Center for Sustainable Transport, 10 G Street, NE, Suite 800, Washington, 20002, DC, United States; EMBARQ Brasil, Rua Luciana de Abreu 471/801, Porto Alegre, Rio Grande do Sul, 90570-060, Brazil; Department of Civil and Environmental Engineering, Rice University, MS-519, 6100 Main Street, Houston, 77005, TX, United States","Duduta N., EMBARQ, World Resources Institute, Center for Sustainable Transport, 10 G Street, NE, Suite 800, Washington, 20002, DC, United States; Adriazola C., EMBARQ, World Resources Institute, Center for Sustainable Transport, 10 G Street, NE, Suite 800, Washington, 20002, DC, United States; Hidalgo D., EMBARQ, World Resources Institute, Center for Sustainable Transport, 10 G Street, NE, Suite 800, Washington, 20002, DC, United States; Lindau L.A., EMBARQ Brasil, Rua Luciana de Abreu 471/801, Porto Alegre, Rio Grande do Sul, 90570-060, Brazil; Jaffe R., Department of Civil and Environmental Engineering, Rice University, MS-519, 6100 Main Street, Houston, 77005, TX, United States","The design choices made in the planning of a new bus rapid transit (BRT) or busway corridor (e.g., use of a center-lane or curbside configuration, counterflow lanes, and open or closed stations) affect not only the operational performance of the system but also the risks of crashes, injuries, and fatalities on the facility over its lifetime. With data from nine BRT systems and busways around the world (including Bogotá, Colombia; Curitiba, Brazil; Mexico City, Mexico; and Delhi, India), some of the road safety impacts of major BRT–busway corridor design characteristics are illustrated. The approach included a combination of crash frequency modeling, road safety inspections, and interviews with transit agency staff and safety experts. Center-lane systems tended generally to be safer than were curbside systems, and counterflow lanes were the most dangerous possible configuration. Some of the features that provide higher passenger capacity (such as multiple bus lanes and multiple docking bays at stations) may introduce new types of conflicts and crashes. In the planning of any bus system, trade-offs often need to be made between capacity, safety, and pedestrian accessibility along the corridor. This study provides the necessary elements for successfully integrating road safety considerations into the design and operation of future BRT systems and busways.","","Bus transportation; Buses; Economic and social effects; Pedestrian safety; Rapid transit; A-center; Bus Rapid Transit; Bus rapid transit systems; Bus way; Counterflow; Design features; High-performance bus; Operational performance; Road safety; Safety impact; Roads and streets","N. Duduta; EMBARQ, World Resources Institute, Center for Sustainable Transport, Washington, 10 G Street, NE, Suite 800, 20002, United States; email: nduduta@wri.org","","National Research Council","03611981","","TRRED","","English","Transp Res Rec","Article","Final","","Scopus","2-s2.0-84907308958"
"Wibowo T.H.R.; Zumelzu A.","Wibowo, Try Haristyo R. (57679442000); Zumelzu, Antonio (57056274100)","57679442000; 57056274100","Urban shape and pedestrian traffic in southern Chile. The Valdivia case study; [Forma urbana y peatonalidad en el sur de Chile. Estudio de caso de Valdivia]","2021","AUS","","29","","96","103","0","10.4206/AUS.2021.N29-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129851649&doi=10.4206%2FAUS.2021.N29-12&partnerID=40&md5=2f0b0bf882c949388f81d2ad6800d888","Spatial Planner, The Ministry of Agrarian Affairs and Spatial Planning, Indonesia; Master in Regional Development Planning and Management, Faculty of Spatial Planning, TU, Dortmund University, Germany; Arquitecto, Instituto de Arquitectura y Urbanismo, Facultad de Arquitectura y Artes, Universidad Austral de Chile, Chile; Doctor (Ph.D) en Planificación Sostenible de la Universidad Tecnológica de Eindhoven, Holanda. Académico del Instituto de Arquitectura y Urbanismo, Facultad de Arquitectura y Artes, Universidad Austral de Chile, Chile","Wibowo T.H.R., Spatial Planner, The Ministry of Agrarian Affairs and Spatial Planning, Indonesia, Master in Regional Development Planning and Management, Faculty of Spatial Planning, TU, Dortmund University, Germany; Zumelzu A., Arquitecto, Instituto de Arquitectura y Urbanismo, Facultad de Arquitectura y Artes, Universidad Austral de Chile, Chile, Doctor (Ph.D) en Planificación Sostenible de la Universidad Tecnológica de Eindhoven, Holanda. Académico del Instituto de Arquitectura y Urbanismo, Facultad de Arquitectura y Artes, Universidad Austral de Chile, Chile","There is a growing demand for pedestrian traffic in middle-sized cities to counteract the increasing use of the automobile. In Valdivia, vehicle dependence is mainly due to the expansion of urban soil to peripheries, increasing distances and complicating access to everyday needs. The article explores elements of urban form that impact on pedestrian traffic and discusses two neighborhoods in the city of Valdivia, Chile. The methods used include a quantitative analysis to measure the accessibility and scale of the built surroundings; and a qualitative analysis to assess spatial quality and route selection. The outcomes show no lineal relationship between pedestrian accessibility and block size, suggesting that the distance that a person is willing to walk depends on the purpose: transportation or recreation. Finally, this study makes recommendations to improve local planning in order to guide urban development towards a human scale. © 2021","barrio; Forma urbana; neighborhood; peatonalidad; pedestrian traffic; Urban shape; Valdivia; Valdivia","","T.H.R. Wibowo; Spatial Planner, The Ministry of Agrarian Affairs and Spatial Planning, Indonesia; email: haristyo.try@gmail.com","","Universidad Austral de Chile","0718204X","","","","English","Aus","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129851649"
